Sample,Location,Compound_Class,C,NOSC,CUE,lambda,AImod,DBE,Calculated m/z,Rel. abundance gC/gC WOEM,bioavail_OC conc mgC/gsoil,bioavail_WEOC mgC/gsoil,alpha_diversity,abs_stoichMet_donor,stoichMet_hco3,qs_max,mu_max,DR,BiomeType
ANZA_TOP,TOP,Lignin-like,23.918924922256775,-0.1620311469777027,0.5141960512186387,0.039118013729880635,0.3194433185084701,12.008996001776987,503.1609433238551,0.4736337445844604,0.013907963657657119,0.029364385069014,4502,0.08130731267226984,0.9447835074384794,0.7232451247266724,0.3718897871975867,4.162031146977703,Desert shrubland
ANZA_TOP,TOP,Cond Hydrocarbon-like,24.036734693877552,0.2351276391011492,0.4754671887994688,0.04108789708354961,0.6572456787430324,17.898639455782313,472.42339098196965,0.2331200105561787,0.00684542575726424,0.029364385069014,2205,0.08749917891895267,1.103194549606989,0.7956219743211955,0.378292143477582,3.764872360898851,Desert shrubland
ANZA_TOP,TOP,Tannin-like,17.66873889875666,0.4531791907514453,0.4543608205720857,0.05754428406656798,0.1745126631579866,9.017761989342807,461.6921895519501,0.08750632271117856,0.002569569356064452,0.029364385069014,1126,0.12456429427007118,1.2008939915657781,1.1489144606314836,0.5220217170996562,3.5468208092485547,Desert shrubland
ANZA_TOP,TOP,Protein-like,21.95294117647059,-0.8285101822079319,0.5802917494610035,0.032946432632794176,0.02097862707277208,4.674117647058823,476.64426230498407,0.08207428910734313,0.0024100610296136048,0.029364385069014,850,0.0784984154838124,0.7232710975622816,0.6792452830188679,0.39416043359615327,4.828510182207932,Desert shrubland
ANZA_TOP,TOP,Unsat Hydrocarbon-like,30.82894736842105,-0.8315834400341444,0.5838489238735027,0.02312021357640528,0.4395025842619815,15.871052631578948,529.1275350451067,0.051527347100349674,0.0015130688618394097,0.029364385069014,380,0.05555726009795885,0.7127718474936523,0.48337514575456697,0.28221805867600147,4.831583440034144,Desert shrubland
ANZA_TOP,TOP,Carbohydrate-like,14.398936170212766,-0.031030661248614422,0.5047351627613009,0.06523536695780134,0.0026595744680851063,2.949468085106383,436.30118189601814,0.02381297970134811,0.0006992535055909999,0.029364385069014,376,0.13759607077011804,0.9812370402910081,1.240469208211144,0.6261084277068338,4.031030661248614,Desert shrubland
ANZA_TOP,TOP,Amino Sugar-like,17.784313725490197,-0.3664829106945975,0.5344863804486638,0.04897321747595708,0.0,4.207843137254902,445.8747562666836,0.019946779265905743,0.0005857249072506806,0.029364385069014,255,0.1052025449290993,0.8709550637390798,0.9271790728209272,0.49556458665980546,4.3664829106945975,Desert shrubland
ANZA_TOP,TOP,Lipid-like,22.438247011952193,-1.3348721590909092,0.6329531899591856,0.02584407164995527,0.06397161960167261,4.069721115537849,443.7129281688786,0.02477183259660003,0.0007274096312317162,0.029364385069014,251,0.07041083301359163,0.5798956634762872,0.6014777341409837,0.3807072505139586,5.334872159090909,Desert shrubland
ANZA_TOP,TOP,Other,10.933333333333334,0.05365853658536501,0.5007516544034957,0.08530984851520651,0.09468479668479668,3.04,371.00801201400895,0.0036066943766356577,0.00010590836250177686,0.029364385069014,75,0.18265224653745615,0.9969978954761874,1.6687268232385657,0.8356177174842014,3.946341463414635,Desert shrubland
BLAN_TOP,TOP,Lignin-like,26.992528735632185,-0.21996295271147837,0.5121460245861994,0.035290065949901944,0.3201120344795296,13.470545977011493,558.6548595273875,0.41275065306561853,0.052593840882235544,0.127422792651219,6960,0.07233735447162996,0.9525681192350831,0.6320919883551379,0.32372339900887015,4.219962952711478,Temperate forests
BLAN_TOP,TOP,Cond Hydrocarbon-like,29.84137779727951,0.13927670805855152,0.4764431360758927,0.03387937763216259,0.6622234730363338,22.34422992540588,560.8728236388524,0.29883272072958794,0.03807809981092592,0.127422792651219,4558,0.07033476721633698,1.0988863607864212,0.624949535728704,0.2977529166917569,3.8607232919414485,Temperate forests
BLAN_TOP,TOP,Tannin-like,19.013142857142856,0.5243891443512756,0.43832891386338363,0.05643312949468179,0.1823451454825355,9.950285714285714,498.8432134159862,0.07310160580541829,0.009314810759014962,0.127422792651219,1750,0.11999025308086003,1.2813918232911177,1.0895506900487704,0.4775815705681777,3.4756108556487244,Temperate forests
BLAN_TOP,TOP,Protein-like,21.665580182529336,-0.7811644350834968,0.5678961222752471,0.03511954955461119,0.014219152440682713,4.520860495436767,478.15925941046925,0.07301811886343514,0.009304172619717558,0.127422792651219,1534,0.08127571022859945,0.7608854168497412,0.6950699173075228,0.3947275107491188,4.781164435083497,Temperate forests
BLAN_TOP,TOP,Unsat Hydrocarbon-like,34.51592356687898,-0.8443747308851579,0.575184074722963,0.021398061789707202,0.4453841562304192,17.54936305732484,557.7636178449783,0.071434063990544,0.009102327924100997,0.127422792651219,942,0.050370196869980316,0.7385738652128874,0.43060123166783054,0.24767497101142932,4.844374730885158,Temperate forests
BLAN_TOP,TOP,Carbohydrate-like,16.377492877492877,-0.005740627989909264,0.4927072065411029,0.05990585450810406,0.0014245014245014246,2.9173789173789175,496.17182916915584,0.025259193999485893,0.003218597039533406,0.127422792651219,702,0.12392635218474454,1.0296029502393274,1.0974942458852655,0.5407433240850634,4.005740627989909,Temperate forests
BLAN_TOP,TOP,Amino Sugar-like,19.92086330935252,-0.3925604911520404,0.5294406996795652,0.04461582028854167,0.0,4.032374100719425,505.48058399251136,0.024334246563303973,0.003100737654159521,0.127422792651219,556,0.09481444795195806,0.8887856574026755,0.8228233166159664,0.43563615246181764,4.39256049115204,Temperate forests
BLAN_TOP,TOP,Lipid-like,24.7,-1.2094017094017078,0.6118775907468814,0.02568072127844767,0.07472116413185564,5.386111111111111,479.71849322844025,0.019535944424060935,0.0024893245955928548,0.127422792651219,360,0.06616655123796183,0.6343138155776574,0.5595613315487243,0.3423830394231504,5.209401709401708,Temperate forests
BLAN_TOP,TOP,Other,10.808219178082192,-0.152091254752853,0.5083611226510826,0.08841115272615106,0.11678998322833939,1.9726027397260273,351.8589902157746,0.001733452558545218,0.00022088136593823238,0.127422792651219,73,0.1820008963158946,0.9671055779896008,1.6043956043956038,0.8156123506270113,4.152091254752853,Temperate forests
CFS1_TOP,TOP,Lignin-like,19.45872093023256,-0.08736442678299294,0.497637297591035,0.05046265201846353,0.3081894853619981,9.749418604651163,415.89865977566194,0.5415958703496933,0.03351169901265999,0.0618758392508097,1720,0.10326966956232317,1.009495680570578,0.9052631578947369,0.45049271150346326,4.087364426782993,Temperate coniferous forests
CFS1_TOP,TOP,Cond Hydrocarbon-like,17.756843800322063,0.6012514736555725,0.43008867860306516,0.061348341558367527,0.6336014844243998,13.309983896940418,395.3952209936302,0.17843908280337234,0.011041068003603388,0.0618758392508097,621,0.13094116935067232,1.325101891191407,1.1930199050109396,0.5131043544933093,3.3987485263444275,Temperate coniferous forests
CFS1_TOP,TOP,Tannin-like,17.29106628242075,0.4966666666666666,0.4413882165602831,0.06169203432188926,0.26760564040350965,9.596541786743515,433.1032305341884,0.09709209184911888,0.006007654667780931,0.0618758392508097,347,0.13102600197174652,1.265579284814061,1.1885823025689817,0.5246262227660377,3.5033333333333334,Temperate coniferous forests
CFS1_TOP,TOP,Protein-like,20.89887640449438,-0.7885304659498207,0.569428037090971,0.036181282959207285,0.048185397092858295,5.393258426966292,435.91609517349593,0.09029564541968055,0.005587118841036265,0.0618758392508097,267,0.08403074532479868,0.7561481607205117,0.7194610778443115,0.40968130932024055,4.788530465949821,Temperate coniferous forests
CFS1_TOP,TOP,Lipid-like,25.594285714285714,-1.2292922527349868,0.61434448890939,0.02452700736142703,0.0987851645268398,5.3742857142857146,474.0076656218587,0.07247924656536725,0.004484714209498465,0.0618758392508097,175,0.0635982286161714,0.6277512341247524,0.537955768081291,0.33049016139775905,5.229292252734987,Temperate coniferous forests
CFS1_TOP,TOP,Amino Sugar-like,15.114285714285714,-0.3024574669187139,0.5224264046428824,0.06048219725585171,0.0,4.0285714285714285,384.1201862544405,0.008560286098030648,0.0005296748865426855,0.0618758392508097,35,0.12664476814432052,0.9141452099527301,1.107205623901582,0.5784334532952828,4.302457466918714,Temperate coniferous forests
CFS1_TOP,TOP,Unsat Hydrocarbon-like,26.85,-0.8342644320297943,0.5776200971385945,0.027234327816094927,0.4356423537621759,13.9,478.0375653209556,0.00868974222049614,0.0005376850927663934,0.0618758392508097,20,0.06447827567456792,0.7312417018621488,0.5546995377503853,0.32040560087811104,4.834264432029794,Temperate coniferous forests
CFS1_TOP,TOP,Carbohydrate-like,13.333333333333334,-0.27500000000000036,0.5207501989867267,0.06902298865355146,0.0,3.5,362.51654136205747,0.002589122449309837,0.00016020412447415817,0.0618758392508097,12,0.14402298865355145,0.9203065153806861,1.263157894736842,0.6577897250358653,4.275,Temperate coniferous forests
CFS1_TOP,TOP,Other,8.0,-0.125,0.5061801044945967,0.11967494785331932,0.3333333333333333,3.25,225.5445296532841,0.0002589122449309837,1.6020412447415816e-05,0.0618758392508097,2,0.2469476751260466,0.9755814010083725,2.1818181818181817,1.1043929552609382,4.125,Temperate coniferous forests
CFS2_TOP,TOP,Lignin-like,18.430851063829788,0.1676767676767672,0.4732673037127325,0.05518084059933908,0.37130588080713506,10.35372340425532,408.20349263409634,0.421455938697318,0.012239449711290578,0.0290408761331531,376,0.11464314950814244,1.1129708140729446,1.0193538670080577,0.4824268561680508,3.832323232323233,Temperate forests
CFS2_TOP,TOP,Cond Hydrocarbon-like,17.851190476190474,0.6178726242080699,0.4292738751553274,0.060931130355676516,0.6085254155031845,13.108630952380953,404.68737309368,0.3647752843155142,0.010593393848242552,0.0290408761331531,336,0.13049634774698088,1.329515160078545,1.192546583850932,0.5119290933529371,3.38212737579193,Temperate forests
CFS2_TOP,TOP,Tannin-like,17.10857142857143,0.5223780895123573,0.4391458195210771,0.06250820467295766,0.3180552236083663,9.868571428571428,423.92964252611887,0.18208356139390625,0.005287866152323809,0.0290408761331531,175,0.13309982972097914,1.2771479439120663,1.2101421436803683,0.5314288634235084,3.4776219104876427,Temperate forests
CFS2_TOP,TOP,Lipid-like,18.75,-1.2400000000000002,0.6149079517191295,0.033400515504084724,0.03171004943316872,2.40625,370.2197846835435,0.018244845831052726,0.0005298463078480769,0.0290408761331531,16,0.08673384883741805,0.6262596657015885,0.732824427480916,0.4506195676720338,5.24,Temperate forests
CFS2_TOP,TOP,Protein-like,14.833333333333334,-0.8988764044943816,0.5801439142476591,0.04878945372402552,0.025603864734299514,2.9166666666666665,321.9918266354807,0.005412637596545642,0.0001571877379949295,0.0290408761331531,6,0.11620518406110417,0.7237102302397118,0.9908256880733947,0.5748214930160293,4.8988764044943816,Temperate forests
CFS2_TOP,TOP,Carbohydrate-like,18.5,-0.37837837837837807,0.5319531175866032,0.04756026545457053,0.0,0.75,561.1708537277541,0.0022501976524965032,6.534771130126283e-05,0.0290408761331531,2,0.1016143195086246,0.8798649109095549,0.8888888888888888,0.4728472156325362,4.378378378378378,Temperate forests
CFS2_TOP,TOP,Amino Sugar-like,33.0,-0.4848484848484844,0.5428635084790004,0.025517686745963438,0.0,6.5,849.262140504119,0.0020069330414158,5.8283093863288464e-05,0.0290408761331531,1,0.055820717048993745,0.8420836626167935,0.4864864864864865,0.2640957608816759,4.484848484848484,Temperate forests
CFS2_TOP,TOP,Unsat Hydrocarbon-like,54.0,-0.7407407407407405,0.5674733080308987,0.014114767058871483,0.55,31.5,853.258062887989,0.003284072249589491,9.537233541265385e-05,0.0290408761331531,1,0.03263328557739,0.7621974211790601,0.28125,0.15960186788369024,4.7407407407407405,Temperate forests
CFS2_TOP,TOP,Other,8.0,1.75,0.3134669691837841,0.16543276417760774,0.6666666666666666,7.0,241.99423966981908,0.00048652922216140606,1.4129234875948719e-05,0.0290408761331531,1,0.39876609751094105,2.1901287800875284,4.0,1.2538678767351363,2.25,Temperate forests
